date,county,covid,reflu,deaths
10/25/2022,Harnett ,17,4,0
10/25/2022,Haywood ,13,3,0
10/25/2022,Henderson ,15,4,0
10/25/2022,Hertford ,1,0,0
10/25/2022,Hoke ,4,1,0
10/25/2022,Hyde ,0,,0
10/25/2022,Iredell ,28,3,0
10/25/2022,Jackson ,3,0,0
10/25/2022,Johnston ,19,5,0
10/25/2022,Jones ,1,0,0
10/25/2022,Lee ,8,2,0
10/25/2022,Lenoir ,5,1,0
10/25/2022,Lincoln ,12,3,0
10/25/2022,Macon ,1,0,0
10/25/2022,Madison ,1,0,0
10/25/2022,Martin ,0,,0
10/25/2022,McDowell,4,0,0
10/25/2022,Mecklenburg ,162,22,1
10/25/2022,Mitchell ,1,0,0
10/25/2022,Montgomery ,4,1,0
10/25/2022,Moore ,19,4,0
10/25/2022,Nash ,3,1,0
10/25/2022,New Hanover,6,1,0
10/25/2022,Northampton ,3,0,0
10/25/2022,Onslow ,12,1,0
10/25/2022,Orange ,18,1,0
10/25/2022,Pamlico ,2,0,0
10/25/2022,Pasquotank ,4,0,0
10/25/2022,Pender ,3,0,0
10/25/2022,Perquimans ,3,1,0
10/25/2022,Person ,5,0,0
10/25/2022,Pitt ,22,6,0
10/25/2022,Polk ,0,,0
10/25/2022,Randolph ,13,5,0
10/25/2022,Richmond ,3,0,0
10/25/2022,Robeson ,21,3,1
10/25/2022,Rockingham ,12,3,0
10/25/2022,Rowan ,24,8,0
10/25/2022,Rutherford ,8,2,0
10/25/2022,Sampson ,8,0,0
10/25/2022,Scotland ,4,0,0
10/25/2022,Stanly ,7,0,0
10/25/2022,Stokes ,9,2,0
10/25/2022,Surry ,14,2,1
10/25/2022,Swain ,2,0,0
10/25/2022,Transylvania ,5,0,0
10/25/2022,Tyrrell ,0,,0
10/25/2022,Union ,32,6,0
10/25/2022,Vance ,6,3,0
10/25/2022,Wake ,140,19,0
10/25/2022,Warren ,3,1,0
10/25/2022,Washington ,1,0,0
10/25/2022,Watauga ,7,1,0
10/25/2022,Wayne ,31,4,0
10/25/2022,Wilkes ,9,4,1
10/25/2022,Wilson ,5,0,0
10/25/2022,Yadkin ,12,1,0
10/25/2022,Yancey ,5,2,0
10/24/2022,Alamance ,27,7,0
10/24/2022,Alexander ,3,0,0
10/24/2022,Alleghany ,1,0,0
10/24/2022,Anson ,2,1,0
10/24/2022,Ashe ,1,0,1
10/24/2022,Avery ,1,0,0
10/24/2022,Beaufort ,9,1,0
10/24/2022,Bertie ,5,0,0
10/24/2022,Bladen ,5,1,0
10/24/2022,Brunswick ,20,3,0
10/24/2022,Buncombe ,44,4,1
10/24/2022,Burke ,11,4,0
10/24/2022,Cabarrus ,27,5,0
10/24/2022,Caldwell ,22,2,0
10/24/2022,Camden ,1,0,0
10/24/2022,Carteret ,5,1,0
10/24/2022,Caswell ,1,0,0
10/24/2022,Catawba ,45,4,0
10/24/2022,Chatham ,13,0,0
10/24/2022,Cherokee ,4,1,0
10/24/2022,Chowan ,1,1,0
10/24/2022,Clay ,1,1,0
10/24/2022,Cleveland ,6,0,0
10/24/2022,Columbus ,3,1,0
10/24/2022,Craven ,16,1,1
10/24/2022,Cumberland ,48,7,0
10/24/2022,Currituck ,7,1,0
10/24/2022,Dare ,7,0,0
10/24/2022,Davidson ,33,9,0
10/24/2022,Davie ,10,3,0
10/24/2022,Duplin ,9,2,0
10/24/2022,Durham ,58,10,0
10/24/2022,Edgecombe ,2,1,0
10/24/2022,Forsyth ,74,11,0
10/24/2022,Franklin ,11,1,0
10/24/2022,Gaston ,34,5,0
10/24/2022,Gates ,2,1,0
10/24/2022,Graham ,1,0,0
10/24/2022,Granville ,8,1,0
10/24/2022,Greene ,1,0,0
10/24/2022,Guilford ,74,16,0
10/24/2022,Halifax ,18,5,0
10/24/2022,Harnett ,22,2,0
10/24/2022,Haywood ,11,3,0
10/24/2022,Henderson ,20,4,0
10/24/2022,Hertford ,3,0,0
10/24/2022,Hoke ,11,5,0
10/24/2022,Hyde ,2,1,0
10/24/2022,Iredell ,32,3,0
